국가별,항목,단위,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
이스라엘,수력,,25,24,25,25,33,31,10,21,31,28,28,15,14,16,24,31,29,33,28,13,24,0,0,0,,,,
이스라엘,풍력,,,,,,,,10,11,12,11,11,10,10,9,9,8,7,6,6,6,7,0,179.964,183.19,190.395,203.594,178.382,
이스라엘,태양열,,,,,,,,,,,,,,,,24,70,192,369,494,840,1115,1544,1510.6,1573.8,3114.501,4162.997,5350.68,
이스라엘,기타,,,,,,,,,,,,,,,220,268,32,80,,,,,,242.03,158.966,249.764,216.268,213.704,
일본,전체,,990425,1011093,1034770,1031266,1048228,1067812,1050222,1068061,1058878,1088460,1108836,1112677,1141853,1108248,1090473,1170875,1110718,1098896,1104137,1075958,1058617,1070835,1080883.548,1067252.164,1039147.86,1017284.838,1049910.018,
일본,가연성 연료,,580350,592138,588230,573070,612104,625131,612122,656539,688470,676713,690625,683678,764784,739385,698191,760918,884066,964370,967373,936946,894022,891983,872173.554,822287.403,789025,783015.493,773762.132,
일본,수력,,92565,89433,100414,102587,95577,96817,93872,91801,104137,103147,86350,97340,84234,83504,83832,90682,91709,83645,84886,86942,91270,85665,91103.72,88347.632,87653.221,87548.296,88825.28,
일본,원자력,,291254,302200,319177,332343,316616,322049,319858,295094,240013,282442,304755,303426,263832,258128,279750,288230,101761,15939,9303,0,9437,18060,32911.743,64929.104,63778.976,38751.685,70805.099,
일본,풍력,,3,2,1,7,38,109,252,415,833,1310,1751,2167,2614,2942,3613,4017,4677,4838,5187,5217,5580,6166,6489.562,7481.228,7617.402,8969.849,9428.225,
일본,태양열,,106,122,149,189,254,357,547,644,857,1118,1420,1721,1972,2206,2657,3543,4839,6613,12880,22952,34802,45761,55068.529,62667.671,69381.534,79086.858,86093.915,
일본,기타,,26147,27198,26799,23070,23639,23349,23571,23568,24568,23730,23935,24345,24417,22083,22430,23485,23666,23491,24508,23901,23506,23200,23136.44,21539.126,21691.727,19912.657,20995.367,
요르단,전체,,5616,6058,6264,6745,7081,7375,7544,8130,8044,8970,9651,11120,12838,14160,14272,14777,14647,16596,17263,18270.4,19011.5,19676.5,20793.1,20476.4,20995.4,20952.2,21288.9,22065.2
요르단,가연성 연료,,5598,6036,6247,6732,7067,7336,7501,8074,7988,8914,9591,11066,12774,14095,14210,14713,14589,16532,17205,18210,18834.3,18817,19386.5,18331.8,18015.9,16675,16168,16425
요르단,수력,,18,22,17,13,14,39,43,53,53,53,57,51,61,62,59,61,55,61,55,58,52.5,41.6,38,22.7,18.4,18.3,18.7,19.1
요르단,풍력,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,2.4,123.1,391,449.1,707,874.9,1406.9,1595.5,1748.2
요르단,태양열,,,,,,,,,,,,,,,,,,,,,,1.6,426.9,919.5,1414.9,2086.2,2852,3506.7,3872.9
카자흐스탄,전체,,66659,58657,52000,52745,47498,51635,55350,58331,63866,66942,67916,71653,76621,80327,78710,82650,86591,92825,103108,95310.86,91882.202,94693.123,103196.827,107604.727,106877.96,110890.318,115078.203,113460.8
카자흐스탄,가연성 연료,,58328,51326,45501,46604,41366,44104,47269,49441,55241,58885,60060,63885,68450,72867,71831,74624,78703,85177,95349,86937.252,82362.935,82661.001,91487.21,96364.3,95346.326,98710.965,102493.187,100129.6
카자흐스탄,수력,,8331,7331,6499,6141,6132,7531,8081,8890,8625,8057,7856,7768,8171,7460,6879,8022,7883,7637,7731,8262.831,9269.19,11620.764,11210.192,10395.354,9993.659,9660.324,9208.472,9201.3
카자흐스탄,풍력,,,,,,,,,,,,,,,,,,,3,5,13.301,131.722,274.983,339.84,460.583,707.135,1028.661,1747.474,2372.1
카자흐스탄,태양열,,,,,,,,,,,,,,,,,4,5,8,23,97.476,118.355,136.375,159.585,384.49,830.84,1490.368,1629.07,1757.8
북한,전체,,23000,21300,19300,17000,18600,19400,20200,19776,20998,21973,22912,22436,21524,23206,23501,23701,21002,21503,22108,21614,19029,23941,23544.444,24948.736,23852.606,24052.606,25566.456,
북한,가연성 연료,,8800,8800,8600,6800,8300,9200,9600,9156,9278,9473,9780,9815,8243,9137,11000,10300,7800,8000,8200,8600,9000,11100,11599.578,12100,12800,11200,9400,
북한,수력,,14200,12500,10700,10200,10300,10200,10600,10620,11720,12500,13132,12620,13280,14068,12500,13400,13200,13500,13900,13000,10000,12800,11900,12800,11000,12800,16100,
북한,태양열,,,,,,,,,,,,,1,1,1,1,1,2,3,8,14,29,41,44.866,48.736,52.606,52.606,66.456,
쿠웨이트,전체,,24254,26005,27254,29984,31576,32323,34299,36369,39802,41256,43734,47607,48753,51749,53216,57029,57457,61119,60982,65140,68288,70099.965,73823.535,74157.091,75202.562,74956.11,80756.716,83366
쿠웨이트,가연성 연료,,24254,26005,27254,29984,31576,32323,34299,36369,39802,41256,43734,47607,48753,51749,53216,57029,57457,61119,60982,65140,68288,70084.965,73786,74099,75071,74743,80569,83366
쿠웨이트,풍력,,,,,,,,,,,,,,,,,,,,,,,6,24.814,38.255,35.886,33.05,29.117,
쿠웨이트,태양열,,,,,,,,,,,,,,,,,,,,,,,9,12.721,19.836,95.676,180.06,158.599,
키르기스스탄,전체,,14285,15729,14285,12455,14135,15983,14936,13086,15576,16312,16415,17082,14830,11789,11083,12100,15158,15168,14011,14572,13030,13262,15514,15728,15100,15404,14815,13854
키르기스스탄,가연성 연료,,3167,3474,3351,2512,1993,2300,2506,2299,2060,2218,2156,2195,2094,1665,866,992,1019,989,914,1274,1930,1768,1311,1410,1256,1425,1858,1951
