국가별,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
베트남,66.8,73.1,79,83.6,87.6,93.5,99.3,105.6,112.9,121.4,130.5,139.7,149.6,158.1,166.6,177.3,188.7,199.1,210.1,223.6,239.3,255.3,273,293.4,314.9,324,332.2,359.2,377.4
예멘,32.3,33.8,35.5,37.7,39.1,41.5,43.1,44.8,46.4,48.3,51,52.6,54.4,56.4,58.5,63,55,56.3,59.1,58.9,42.4,38.5,36.5,36.8,-,-,-,-,-
버뮤다,5.3,5.5,5.7,6,6.2,6.7,7.2,7.1,7.4,7.5,7.7,8.1,8.4,8.2,7.7,7.5,7.3,6.9,6.9,6.6,6.7,6.6,6.8,6.8,6.8,6.4,6.7,7.2,-
캐나다,955.1,971.3,1012.8,1052.3,1106.3,1163.2,1185,1220.6,1242.6,1281,1322.2,1357,1384.8,1398.6,1357.9,1399.8,1443.7,1469.1,1503.3,1546.5,1556.5,1572.7,1620.4,1664.8,1696.6,1611.1,1696.3,1761.1,1779.9
그린란드,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.4,2.5,2.4,2.6,2.5,2.6,2.6,2.6,2.7,2.7,2.7,-,-
멕시코,724.2,769.3,824.6,875.7,899.8,945,940.8,938.5,949.7,983.5,1004.3,1052.6,1074.4,1084.6,1016.3,1066.8,1103.6,1142.8,1152.5,1181.4,1213.3,1234.8,1257.9,1282.7,1279.5,1169.1,1236.2,1285.1,1326.6
미국,11106.7,11525.7,12038.3,12578,13180.2,13717.7,13848.8,14084.2,14478,15035.1,15558.8,15992.1,16312.5,16331.1,15910.3,16339.1,16594.7,16974.6,17334.1,17771.5,18295,18627.9,19085.7,19651.9,20136.7,19691,20833.1,21236.3,21776.3
앤티가바부다,0.9,1,1,1.1,1.1,1.2,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.7,1.5,1.4,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.4,1.5,1.6,1.7
아르헨티나,348.4,367.6,397.5,412.8,398.8,395.6,378.2,337,366.8,399.9,435.3,470.3,512.7,533.5,501.9,552.7,585.9,579.9,593.9,578.9,594.7,582.4,598.8,583.1,571.5,514.9,570.1,598.3,589
아루바,2.3,2.3,2.5,2.5,2.5,2.7,2.9,2.8,2.9,3.1,3.1,3.1,3.2,3.2,2.9,2.8,2.9,2.8,3,3,3,3,3.2,3.3,3.2,2.5,3.1,3.5,-
바하마,8.5,8.9,9,9.4,10.1,10.5,10.8,11.1,10.9,11,11.4,11.7,11.9,11.6,11.1,11.3,11.3,11.7,11.3,11.6,11.7,11.6,11.9,12.2,12,9.5,10.9,12.1,12.4
바베이도스,3.7,3.9,4.1,4.2,4.2,4.4,4.3,4.3,4.4,4.5,4.7,5,5.1,5.1,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.9,4.9,4.8,4.9,4.3,4.2,4.8,5
벨리즈,1,1,1.1,1.1,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,2,2,2.1,2.2,2.2,2.2,2.2,2.3,2,2.3,2.5,2.6
볼리비아,14.6,15.3,16,16.8,16.9,17.3,17.6,18.1,18.6,19.3,20.2,21.2,22.1,23.5,24.3,25.3,26.6,27.9,29.8,31.5,33,34.4,35.9,37.4,38.2,34.9,37,38.3,39.3
브라질,1066.9,1090.4,1127.4,1131.3,1136.5,1186.4,1202.9,1239.6,1253.8,1326,1368.5,1422.7,1509,1585.9,1583.9,1703.2,1770.8,1804.9,1859.1,1868.5,1802.2,1743.2,1766.2,1797.7,1819.7,1760.1,1843.9,1899.5,1954.8
케이맨제도,-,-,-,-,-,-,-,-,-,-,-,4.6,4.8,4.8,4.4,4.3,4.4,4.4,4.5,4.6,4.7,4.9,5,5.2,5.4,5.2,5.4,5.7,-
칠레,104.9,112.1,120.3,125.4,125,131.2,135.4,139.7,146.3,156.1,165.2,175.2,184.2,191.2,189.1,200.2,212.6,225.7,233.2,237.3,242.5,246.7,250.1,260,261.7,245.6,273.4,279.1,279.7
콜롬비아,150,153.1,158.3,159.2,152.6,157,159.7,163.6,170.1,179.1,187.8,200.4,213.9,220.9,223.4,233.5,249.7,259.5,272.8,285.1,293.5,299.6,303.7,311.5,321.4,298.3,330.5,354.6,356.8
코스타리카,24.5,24.9,26.2,28.1,29.3,30.4,31.5,32.6,34,35.5,36.9,39.6,42.8,44.9,44.5,46.9,48.9,51.3,52.6,54.5,56.4,58.8,61.3,62.9,64.4,61.6,66.5,69.5,73.1
쿠바,36.6,39.5,40.6,40.6,43.1,45.7,47.1,47.8,49.6,52.5,58.4,65.4,70.2,73,74.1,75.9,78,80.4,82.6,83.4,87.1,87.6,89.2,91.2,91,81.1,82.1,83.5,-
도미니카연방,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.6
도미니카공화국,26.1,27.7,30.1,32.2,34.1,35.7,36.5,38.2,37.7,38.6,42.3,46.2,49.6,51.2,51.7,56,57.7,59.3,62.2,66.6,71.2,75.9,79.4,85,89.3,83.3,93.5,98.1,100.4
에콰도르,47.5,48.4,50.4,52.1,49.6,50.2,52.3,54.9,56.4,60.3,63.5,66.3,67.6,72,72.8,75.7,82.1,86.9,93.2,97.1,97.2,96.5,102.3,103.4,103.5,94,103.2,109.6,112.2
엘살바도르,16,16.1,16.6,17.1,17.4,17.6,17.8,18.1,18.3,18.5,19,19.8,20.2,20.6,20.2,20.6,21.4,22,22.5,22.9,23.4,24,24.6,25.2,25.8,23.7,26.6,27.3,28.3
그레나다,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.1,1,1,1.1,1.2
과테말라,30.5,31.4,32.8,34.4,35.7,37,37.9,39.4,40.4,41.6,43,45.3,48.2,49.7,50,51.4,53.6,55.2,57.2,59.7,62.2,63.9,65.8,68.1,70.8,69.5,75.1,78.2,80.9
가이아나,2.5,2.7,2.9,2.8,2.9,2.9,2.9,3,3,3,2.9,3.1,3.3,3.4,3.5,3.6,3.8,4,4.2,4.3,4.3,4.4,4.6,4.8,5.1,7.3,8.7,14.3,19
아이티,9.8,10.3,10.5,10.8,11.1,11.2,11.1,11.2,11.6,11.5,11.8,12,12.6,12.9,13.7,12.9,13.6,13.6,14.2,14.6,14.8,15.1,15.5,15.8,15.5,15,14.7,14.5,14.2
온두라스,10,10.2,10.7,11.1,11,11.8,12.1,12.5,13.1,13.9,14.8,15.7,16.7,17.4,17,17.6,18.3,19.1,19.6,20.2,21,21.8,22.9,23.7,24.3,22.2,24.9,26,26.9
자메이카,13.1,13.1,12.9,12.6,12.7,12.9,13,13.3,13.8,14,14.1,14.5,14.7,14.6,13.9,13.7,14,13.9,14,14.1,14.2,14.4,14.5,14.8,14.9,13.5,14.1,14.8,15.1
니카라과,5.7,6.1,6.3,6.6,7,7.3,7.5,7.6,7.8,8.2,8.6,8.9,9.4,9.7,9.4,9.8,10.4,11.1,11.6,12.2,12.8,13.3,14,13.5,13.1,12.9,14.2,14.7,15.4
파나마,16.6,17.3,18.4,19.7,20.5,21.1,21.2,21.7,22.6,24.3,26,28.3,31.7,34.8,35.2,37.3,41.5,45.5,48.7,51.2,54.1,56.8,59.9,62.2,64.2,52.9,61.2,67.8,72.8
파라과이,20.4,20.7,21.6,21.6,21.3,20.8,20.6,20.6,21.5,22.4,22.8,23.9,25.2,26.9,26.8,29.8,31.1,30.8,33.4,35.2,36.2,37.8,39.6,40.8,40.7,40.3,42,42,44
페루,76.9,79.1,84.2,83.9,85.1,87.4,87.9,92.7,96.6,101.4,107.8,115.9,125.8,137.2,138.7,150.3,159.8,169.6,179.5,183.8,189.8,197.3,202.3,210.3,215,191.5,217.1,223,221.8
푸에르토리코,80.8,82.7,86.7,91.5,96.4,99.6,105.9,106.8,106.9,116.2,113.9,112.3,111,109,106.8,106.4,106,106.1,105.7,104.5,103.4,102.1,99.1,94.8,96.4,92.4,92.7,96,96.6
세인트키츠네비스,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1,1,0.9,0.9,1,1
세인트루시아,1.3,1.3,1.3,1.4,1.5,1.5,1.4,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,2,1.5,1.7,2,2
세인트빈센트그레나딘,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.9,1
수리남,2.7,2.7,2.8,2.9,2.9,2.9,3,3.1,3.3,3.6,3.8,4,4.2,4.4,4.5,4.7,5,5.1,5.3,5.3,5.1,4.9,5,5.2,5.3,4.4,4.3,4.4,4.5
트리니다드토바고,9.2,9.9,10.6,11.5,12.4,13.2,13.8,14.9,17,18.4,19.5,22.1,23.2,23.9,22.9,23.6,23.6,25.3,26.2,27.2,27,25,23.8,23.6,23.7,21.6,21.4,21.7,22.1
터크스케이커스제도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.8,0.8,0.8,0.9,1,1,1,1.1,0.8,0.9,0.9,0.9
미국령버진아일랜드,-,-,-,-,-,-,-,4.7,4.7,4.8,5,5.2,5.4,5.4,5.1,5.1,4.7,4,3.7,3.7,3.7,3.7,3.7,3.8,3.9,3.8,3.9,-,-
우루과이,31.3,33.1,35.9,37.5,37,36.2,34.8,32.2,32.4,34,36.6,38.1,40.6,43.5,45.3,48.9,51.4,53.2,55.7,57.5,57.7,58.7,59.7,59.8,60.3,55.9,59,61.8,62
알바니아,4.7,5.2,4.6,5,5.7,6.1,6.6,6.9,7.2,7.6,8.1,8.5,9,9.7,10,10.4,10.7,10.8,10.9,11.1,11.4,11.8,12.2,12.7,13,12.5,13.7,14.3,14.8
안도라,1.8,1.8,2,2.1,2.2,2.2,2.4,2.5,2.8,3,3.1,3.3,3.3,3.2,3,2.9,2.9,2.8,2.7,2.8,2.8,2.9,2.9,2.9,3,2.7,2.9,3.2,3.2
오스트리아,268.6,274.9,280.6,290.7,301,311.2,315.1,320.3,323.4,332.2,339.7,351.4,364.5,369.8,355.9,362.4,373,375.6,375.7,378.1,382,389.6,398.4,408,413.9,386.5,402.9,422.2,418.7
벨라루스,19.2,19.8,22,23.9,24.7,26.1,27.3,28.7,30.8,34.3,37.5,41.2,44.8,49.4,49.5,53.3,56.2,57.1,57.7,58.7,56.5,55,56.4,58.2,59,58.6,60.1,57.3,59.5
벨기에,317.6,321.8,334,340.5,352.6,365.7,369.7,376,379.9,393.5,402.7,412.9,428.1,430,421.3,433.4,440.7,444,446,453.1,462.3,468.2,475.8,484.3,495.2,468.9,501.4,516.5,523.5
보스니아-헤르체고비나,3.8,5.8,7.9,9.2,10.1,10.7,10.9,11.5,11.9,12.7,13.2,13.9,14.7,15.5,15,15.2,15.3,15.2,15.5,15.7,16.4,16.9,17.5,18.2,18.7,18.1,19.5,20.3,20.6
불가리아,33.8,35.6,30.6,31.7,29.1,30.4,31.6,33.4,35.2,37.5,40.1,42.8,45.7,48.5,46.9,47.6,48.6,48.9,48.7,49.1,50.8,52.3,53.8,55.2,57.5,55.2,59.4,61.7,62.9
크로아티아,33.8,35.8,38,38.9,38.5,39.7,40.9,43.3,45.7,47.6,49.7,52.2,54.8,55.9,51.9,51.3,51.2,50.1,49.9,49.7,51,52.9,54.7,56.3,58.2,53.3,60.2,64.4,66.4
체코,115.9,120.8,120.2,119.8,121.4,126.3,130.1,132.2,136.9,143.5,152.9,163.3,172.4,177,168.8,172.9,175.9,174.6,174.5,178.4,188,192.8,202.8,209.3,215.6,203.8,211,216,215.3
덴마크,226.7,233.2,240.8,246.2,253.4,262.9,265.1,266.3,267.4,274.5,280.9,291.9,294.6,293.1,278.7,283.9,287.7,288.3,291,295.7,302.7,312.5,321.3,327.7,332.6,324.5,346.8,356.2,363
에스토니아,10.3,10.8,12.2,12.7,12.6,13.9,14.7,15.7,16.9,18.1,19.8,21.8,23.4,22.2,19,19.4,20.8,21.5,21.8,22.5,22.9,23.6,25,25.9,27,26.7,28.6,28.5,27.7
페로제도,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.1,2.1,2.1,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,2.8,3,3.2,-
핀란드,152.8,158.4,168.4,177.6,185.4,196.1,201.2,204.7,208.8,217.1,223.1,232.1,244.4,246.3,226.4,233.6,239.6,236.3,234.1,233.3,234.5,241.1,248.8,251.7,254.7,248.7,255.8,259.2,256.5
