,국가별,연도,value
623,바누아투,1997,0.5
624,대한민국,1998,-
625,아프가니스탄,1998,-
626,아르메니아,1998,3.6
627,아제르바이잔,1998,10
628,바레인,1998,14
629,방글라데시,1998,75.8
630,부탄,1998,0.7
631,브루나이,1998,10.7
632,캄보디아,1998,4.8
633,중국,1998,2371.6
634,키프로스,1998,14
635,동티모르,1998,0.8
636,조지아,1998,6.1
637,홍콩,1998,162.7
638,인도,1998,708.3
639,인도네시아,1998,373.5
640,이란,1998,238.4
641,이라크,1998,74.1
642,이스라엘,1998,164.2
643,일본,1998,3892.5
644,요르단,1998,17.1
645,카자흐스탄,1998,58.7
646,쿠웨이트,1998,59.6
647,키르기스스탄,1998,3.2
648,라오스,1998,4.4
649,레바논,1998,25.6
650,마카오,1998,13.2
651,말레이시아,1998,128.3
652,몰디브,1998,1.8
653,몽골,1998,3.7
654,미얀마,1998,10.7
655,네팔,1998,12.1
656,오만,1998,43.8
657,파키스탄,1998,150.4
658,필리핀,1998,132.4
659,카타르,1998,29.9
660,사우디아라비아,1998,363.3
661,싱가포르,1998,121.9
662,스리랑카,1998,34.2
663,시리아,1998,21.4
664,타지키스탄,1998,2.4
665,태국,1998,202.7
666,튀르키예,1998,400
667,투르크메니스탄,1998,8.4
668,아랍에미리트,1998,175.7
669,우즈베키스탄,1998,29.1
670,베트남,1998,83.6
671,예멘,1998,37.7
672,버뮤다,1998,6
673,캐나다,1998,1052.3
674,그린란드,1998,1.6
675,멕시코,1998,875.7
676,미국,1998,12578
677,앤티가바부다,1998,1.1
678,아르헨티나,1998,412.8
679,아루바,1998,2.5
680,바하마,1998,9.4
681,바베이도스,1998,4.2
682,벨리즈,1998,1.1
683,볼리비아,1998,16.8
684,브라질,1998,1131.3
685,케이맨제도,1998,-
686,칠레,1998,125.4
687,콜롬비아,1998,159.2
688,코스타리카,1998,28.1
689,쿠바,1998,40.6
690,도미니카연방,1998,0.4
691,도미니카공화국,1998,32.2
692,에콰도르,1998,52.1
693,엘살바도르,1998,17.1
694,그레나다,1998,0.6
695,과테말라,1998,34.4
696,가이아나,1998,2.8
697,아이티,1998,10.8
698,온두라스,1998,11.1
699,자메이카,1998,12.6
700,니카라과,1998,6.6
701,파나마,1998,19.7
702,파라과이,1998,21.6
703,페루,1998,83.9
704,푸에르토리코,1998,91.5
705,세인트키츠네비스,1998,0.6
706,세인트루시아,1998,1.4
707,세인트빈센트그레나딘,1998,0.6
708,수리남,1998,2.9
709,트리니다드토바고,1998,11.5
710,터크스케이커스제도,1998,-
711,미국령버진아일랜드,1998,-
712,우루과이,1998,37.5
713,알바니아,1998,5
714,안도라,1998,2.1
715,오스트리아,1998,290.7
716,벨라루스,1998,23.9
717,벨기에,1998,340.5
718,보스니아-헤르체고비나,1998,9.2
719,불가리아,1998,31.7
720,크로아티아,1998,38.9
721,체코,1998,119.8
722,덴마크,1998,246.2
723,에스토니아,1998,12.7
724,페로제도,1998,-
725,핀란드,1998,177.6
726,프랑스,1998,1904.1
727,독일,1998,2704.2
728,그리스,1998,188.1
729,헝가리,1998,85
730,아이슬란드,1998,10.9
731,아일랜드,1998,131.9
732,맨섬,1998,2.9
733,이탈리아,1998,1746.5
734,코소보,1998,-
735,라트비아,1998,14.7
736,리히텐슈타인,1998,-
737,리투아니아,1998,21.9
738,룩셈부르크,1998,34.9
739,북마케도니아,1998,6.1
740,몰타,1998,5.4
741,몰도바,1998,4
742,모나코,1998,3.6
743,네덜란드,1998,588.7
744,노르웨이,1998,288.9
745,폴란드,1998,256.8
746,포르투갈,1998,179.3
747,루마니아,1998,100.4
748,러시아,1998,666.8
749,산마리노,1998,1.3
750,슬로바키아,1998,47.5
751,슬로베니아,1998,29.6
752,스페인,1998,883.1
753,스웨덴,1998,334
754,스위스,1998,501.3
755,우크라이나,1998,66.1
756,영국,1998,2131.8
757,몬테네그로,1998,2.9
758,세르비아,1998,25
759,알제리,1998,102.5
760,앙골라,1998,29.7
761,베냉,1998,5.6
762,보츠와나,1998,7.6
763,부르키나파소,1998,4.7
764,부룬디,1998,2
765,카메룬,1998,15.8
766,카보베르데,1998,0.7
767,중앙아프리카공화국,1998,1.7
768,차드,1998,3.2
769,코모로,1998,0.6
770,콩고,1998,6.2
771,콩고민주공화국,1998,18.5
772,코트디부아르,1998,30.1
773,지부티,1998,-
774,이집트,1998,159.3
775,적도기니,1998,1.8
776,에리트레아,1998,2
777,에티오피아,1998,15.6
778,가봉,1998,10.8
779,감비아,1998,0.9
780,가나,1998,18.5
781,기니,1998,4.9
782,기니비사우,1998,0.6
783,케냐,1998,35.6
784,레소토,1998,1.4
785,라이베리아,1998,1.4
786,리비아,1998,55.1
787,마다가스카르,1998,7
788,말라위,1998,4.5
789,말리,1998,5.9
790,모리타니,1998,3.4
791,모리셔스,1998,6.1
792,모로코,1998,53.8
793,모잠비크,1998,4.6
794,나미비아,1998,5.2
795,니제르,1998,4.6
796,나이지리아,1998,170.1
797,르완다,1998,2.4
798,상투메프린시페,1998,0.1
799,세네갈,1998,9.5
800,세이셸,1998,0.9
801,시에라리온,1998,1.8
802,소말리아,1998,2.4
803,남아프리카공화국,1998,207.8
804,남수단,1998,-
805,수단,1998,34.3
806,에스와티니,1998,2.4
807,탄자니아,1998,16.9
808,토고,1998,3.4
809,튀니지,1998,25.2
810,우간다,1998,11
811,잠비아,1998,7.4
812,짐바브웨,1998,20.6
813,미국령사모아,1998,-
814,오스트레일리아,1998,799.5
815,피지,1998,3.1
816,프랑스령폴리네시아,1998,5.1
817,괌,1998,-
818,키리바시,1998,0.1
819,마셜제도,1998,0.2
820,미크로네시아,1998,0.3
821,나우루,1998,0.1
822,뉴칼레도니아,1998,-
823,뉴질랜드,1998,109.8
824,북마리아나제도,1998,-
825,팔라우,1998,0.3
826,파푸아뉴기니,1998,11.1
827,사모아,1998,0.5
828,솔로몬제도,1998,0.9
829,통가,1998,0.3
830,투발루,1998,0
831,바누아투,1998,0.5
832,대한민국,1999,-
833,아프가니스탄,1999,-
834,아르메니아,1999,3.7
835,아제르바이잔,1999,10.7
836,바레인,1999,14.7
837,방글라데시,1999,79.3
838,부탄,1999,0.7
839,브루나이,1999,11
840,캄보디아,1999,5.4
841,중국,1999,2553.3
842,키프로스,1999,14.7
843,동티모르,1999,0.5
844,조지아,1999,6.3
845,홍콩,1999,166.7
846,인도,1999,770.9
847,인도네시아,1999,376.5
848,이란,1999,243.2
849,이라크,1999,87.2
850,이스라엘,1999,169.7
851,일본,1999,3879.5
852,요르단,1999,17.6
853,카자흐스탄,1999,60.3
854,쿠웨이트,1999,58.5
855,키르기스스탄,1999,3.3
856,라오스,1999,4.7
857,레바논,1999,25.5
858,마카오,1999,12.9
859,말레이시아,1999,136.2
860,몰디브,1999,1.9
861,몽골,1999,3.8
862,미얀마,1999,11.9
863,네팔,1999,12.6
864,오만,1999,43.9
865,파키스탄,1999,155.9
866,필리핀,1999,136.8
867,카타르,1999,31.2
868,사우디아라비아,1999,349.6
869,싱가포르,1999,128.9
870,스리랑카,1999,35.6
871,시리아,1999,20.6
872,타지키스탄,1999,2.5
873,태국,1999,212
874,튀르키예,1999,387
875,투르크메니스탄,1999,9.8
876,아랍에미리트,1999,180.8
877,우즈베키스탄,1999,30.3
878,베트남,1999,87.6
879,예멘,1999,39.1
880,버뮤다,1999,6.2
881,캐나다,1999,1106.3
882,그린란드,1999,1.7
883,멕시코,1999,899.8
884,미국,1999,13180.2
885,앤티가바부다,1999,1.1
886,아르헨티나,1999,398.8
887,아루바,1999,2.5
888,바하마,1999,10.1
889,바베이도스,1999,4.2
890,벨리즈,1999,1.2
891,볼리비아,1999,16.9
892,브라질,1999,1136.5
893,케이맨제도,1999,-
894,칠레,1999,125
895,콜롬비아,1999,152.6
896,코스타리카,1999,29.3
897,쿠바,1999,43.1
898,도미니카연방,1999,0.4
899,도미니카공화국,1999,34.1
900,에콰도르,1999,49.6
901,엘살바도르,1999,17.4
902,그레나다,1999,0.7
903,과테말라,1999,35.7
904,가이아나,1999,2.9
905,아이티,1999,11.1
906,온두라스,1999,11
907,자메이카,1999,12.7
908,니카라과,1999,7
909,파나마,1999,20.5
910,파라과이,1999,21.3
911,페루,1999,85.1
912,푸에르토리코,1999,96.4
913,세인트키츠네비스,1999,0.6
914,세인트루시아,1999,1.5
915,세인트빈센트그레나딘,1999,0.6
916,수리남,1999,2.9
917,트리니다드토바고,1999,12.4
918,터크스케이커스제도,1999,-
919,미국령버진아일랜드,1999,-
920,우루과이,1999,37
921,알바니아,1999,5.7
922,안도라,1999,2.2
923,오스트리아,1999,301
924,벨라루스,1999,24.7
925,벨기에,1999,352.6
926,보스니아-헤르체고비나,1999,10.1
927,불가리아,1999,29.1
928,크로아티아,1999,38.5
929,체코,1999,121.4
930,덴마크,1999,253.4
931,에스토니아,1999,12.6
932,페로제도,1999,-
933,핀란드,1999,185.4
934,프랑스,1999,1969.2
935,독일,1999,2755.2
936,그리스,1999,193.9
937,헝가리,1999,87.6
938,아이슬란드,1999,11.3
939,아일랜드,1999,145.8
940,맨섬,1999,3.3
941,이탈리아,1999,1774.9
942,코소보,1999,-
943,라트비아,1999,15.1
944,리히텐슈타인,1999,-
945,리투아니아,1999,21.7
946,룩셈부르크,1999,37.8
947,북마케도니아,1999,6.4
948,몰타,1999,5.6
949,몰도바,1999,3.9
950,모나코,1999,3.8
951,네덜란드,1999,618.4
952,노르웨이,1999,294.9
953,폴란드,1999,268.7
954,포르투갈,1999,186.3
955,루마니아,1999,100
956,러시아,1999,709.5
957,산마리노,1999,1.5
958,슬로바키아,1999,47.5
959,슬로베니아,1999,31.2
960,스페인,1999,922.7
961,스웨덴,1999,348.2
962,스위스,1999,509.7
963,우크라이나,1999,65.9
964,영국,1999,2197.1
965,몬테네그로,1999,2.6
966,세르비아,1999,22.6
967,알제리,1999,105.8
968,앙골라,1999,30.4
969,베냉,1999,5.9
970,보츠와나,1999,8.3
971,부르키나파소,1999,5
972,부룬디,1999,2
973,카메룬,1999,16.5
974,카보베르데,1999,0.8
