,국가별,항목,단위,연도,value
386,영국,석유[100만 톤],100만 톤,1995,82.236
387,영국,천연가스[exajoules],exajoules,1995,2.65711
388,영국,수력[exajoules],exajoules,1995,0.04952
389,영국,원자력[exajoules],exajoules,1995,0.90877
390,알제리,전체[exajoules],exajoules,1995,1.12732
391,알제리,석탄[exajoules],exajoules,1995,0.02596
392,알제리,석유[100만 톤],100만 톤,1995,8.433
393,알제리,천연가스[exajoules],exajoules,1995,0.728
394,알제리,수력[exajoules],exajoules,1995,0.00205
395,이집트,전체[exajoules],exajoules,1995,1.57615
396,이집트,석탄[exajoules],exajoules,1995,0.02907
397,이집트,석유[100만 톤],100만 톤,1995,23.281
398,이집트,천연가스[exajoules],exajoules,1995,0.43659
399,이집트,수력[exajoules],exajoules,1995,0.11914
400,모로코,전체[exajoules],exajoules,1995,0.36883
401,모로코,석탄[exajoules],exajoules,1995,0.06837
402,모로코,석유[100만 톤],100만 톤,1995,6.817
403,모로코,천연가스[exajoules],exajoules,1995,0.00046
404,모로코,수력[exajoules],exajoules,1995,0.0065
405,남아프리카공화국,전체[exajoules],exajoules,1995,4.02306
406,남아프리카공화국,석탄[exajoules],exajoules,1995,2.98697
407,남아프리카공화국,석유[100만 톤],100만 톤,1995,20.03448
408,남아프리카공화국,천연가스[exajoules],exajoules,1995,0.04648
409,남아프리카공화국,수력[exajoules],exajoules,1995,0.00563
410,남아프리카공화국,원자력[exajoules],exajoules,1995,0.11544
411,오스트레일리아,전체[exajoules],exajoules,1995,4.15548
412,오스트레일리아,석탄[exajoules],exajoules,1995,1.743
413,오스트레일리아,석유[100만 톤],100만 톤,1995,35.24792
414,오스트레일리아,천연가스[exajoules],exajoules,1995,0.6963
415,오스트레일리아,수력[exajoules],exajoules,1995,0.16639
416,뉴질랜드,전체[exajoules],exajoules,1995,0.77366
417,뉴질랜드,석탄[exajoules],exajoules,1995,0.04916
418,뉴질랜드,석유[100만 톤],100만 톤,1995,5.48673
419,뉴질랜드,천연가스[exajoules],exajoules,1995,0.16067
420,뉴질랜드,수력[exajoules],exajoules,1995,0.29311
421,세계,전체[exajoules],exajoules,1996,374.29465
422,세계,석탄[exajoules],exajoules,1996,95.73264
423,세계,석유[100만 톤],100만 톤,1996,3360.12888
424,세계,천연가스[exajoules],exajoules,1996,79.77332
425,세계,수력[exajoules],exajoules,1996,26.7919
426,세계,원자력[exajoules],exajoules,1996,24.5837
427,대한민국,전체[exajoules],exajoules,1996,6.98556
