,국가별,항목,연도,value
539,슬로베니아,전체,1995,12913.0
540,슬로베니아,가연성 연료,1995,4882.0
541,슬로베니아,수력,1995,3252.0
542,슬로베니아,원자력,1995,4779.0
543,슬로베니아,풍력,1995,
544,슬로베니아,태양열,1995,
545,스페인,전체,1995,167090.0
546,스페인,가연성 연료,1995,86776.0
547,스페인,수력,1995,24569.0
548,스페인,원자력,1995,55455.0
549,스페인,풍력,1995,270.0
550,스페인,태양열,1995,20.0
551,스페인,기타,1995,
552,스웨덴,전체,1995,148351.0
553,스웨덴,가연성 연료,1995,10156.0
554,스웨덴,수력,1995,68160.0
555,스웨덴,원자력,1995,69935.0
556,스웨덴,풍력,1995,99.0
557,스웨덴,태양열,1995,1.0
558,스위스,전체,1995,63033.0
559,스위스,가연성 연료,1995,2178.0
560,스위스,수력,1995,35954.0
561,스위스,원자력,1995,24895.0
562,스위스,풍력,1995,
563,스위스,태양열,1995,6.0
564,우크라이나,전체,1995,194318.0
565,우크라이나,가연성 연료,1995,113345.0
566,우크라이나,수력,1995,10150.0
567,우크라이나,원자력,1995,70823.0
568,우크라이나,풍력,1995,
569,우크라이나,태양열,1995,
570,우크라이나,기타,1995,
571,영국,전체,1995,334041.0
572,영국,가연성 연료,1995,238296.0
573,영국,수력,1995,6390.0
574,영국,원자력,1995,88964.0
575,영국,풍력,1995,391.0
576,영국,태양열,1995,
577,영국,기타,1995,
578,몬테네그로,전체,1995,
579,몬테네그로,가연성 연료,1995,
580,몬테네그로,수력,1995,
581,몬테네그로,풍력,1995,
582,몬테네그로,태양열,1995,
583,세르비아,전체,1995,
584,세르비아,가연성 연료,1995,
585,세르비아,수력,1995,
586,세르비아,풍력,1995,
587,세르비아,태양열,1995,
588,알제리,전체,1995,19714.0
589,알제리,가연성 연료,1995,19521.0
590,알제리,수력,1995,193.0
591,알제리,풍력,1995,
592,알제리,태양열,1995,
593,앙골라,전체,1995,960.0
594,앙골라,가연성 연료,1995,60.0
595,앙골라,수력,1995,900.0
596,앙골라,태양열,1995,
597,베냉,전체,1995,35.0
598,베냉,가연성 연료,1995,35.0
599,베냉,수력,1995,0.0
600,베냉,태양열,1995,
601,보츠와나,전체,1995,1041.0
602,보츠와나,가연성 연료,1995,1041.0
603,보츠와나,태양열,1995,
604,카메룬,전체,1995,2844.0
605,카메룬,가연성 연료,1995,91.0
606,카메룬,수력,1995,2753.0
607,카메룬,태양열,1995,
608,콩고,전체,1995,328.0
609,콩고,가연성 연료,1995,3.0
610,콩고,수력,1995,325.0
611,콩고,태양열,1995,
612,콩고민주공화국,전체,1995,6180.0
613,콩고민주공화국,가연성 연료,1995,21.0
614,콩고민주공화국,수력,1995,6159.0
615,콩고민주공화국,태양열,1995,
616,코트디부아르,전체,1995,2955.0
617,코트디부아르,가연성 연료,1995,1228.0
618,코트디부아르,수력,1995,1727.0
619,코트디부아르,태양열,1995,
620,이집트,전체,1995,52500.0
621,이집트,가연성 연료,1995,41087.0
622,이집트,수력,1995,11413.0
623,이집트,풍력,1995,
624,이집트,태양열,1995,
625,에리트레아,전체,1995,172.0
626,에리트레아,가연성 연료,1995,172.0
627,에리트레아,풍력,1995,
628,에리트레아,태양열,1995,
629,에티오피아,전체,1995,1533.0
630,에티오피아,가연성 연료,1995,99.0
631,에티오피아,수력,1995,1428.0
632,에티오피아,풍력,1995,
633,에티오피아,태양열,1995,
634,에티오피아,기타,1995,6.0
635,가봉,전체,1995,1139.0
636,가봉,가연성 연료,1995,348.0
637,가봉,수력,1995,791.0
638,가봉,태양열,1995,
639,가나,전체,1995,6188.0
640,가나,가연성 연료,1995,23.0
641,가나,수력,1995,6165.0
642,가나,태양열,1995,
643,케냐,전체,1995,3747.0
644,케냐,가연성 연료,1995,334.0
645,케냐,수력,1995,3123.0
646,케냐,풍력,1995,
647,케냐,태양열,1995,
648,케냐,기타,1995,290.0
649,리비아,전체,1995,11415.0
650,리비아,가연성 연료,1995,11415.0
651,리비아,태양열,1995,
652,모리셔스,전체,1995,1060.0
653,모리셔스,가연성 연료,1995,925.0
654,모리셔스,수력,1995,135.0
655,모리셔스,풍력,1995,
656,모리셔스,태양열,1995,
657,모로코,전체,1995,12113.0
658,모로코,가연성 연료,1995,11508.0
659,모로코,수력,1995,605.0
660,모로코,풍력,1995,
661,모로코,태양열,1995,
662,모로코,기타,1995,
663,모잠비크,전체,1995,408.0
664,모잠비크,가연성 연료,1995,29.0
665,모잠비크,수력,1995,379.0
666,모잠비크,태양열,1995,
667,나미비아,전체,1995,1171.0
668,나미비아,가연성 연료,1995,37.0
669,나미비아,수력,1995,1134.0
670,나미비아,풍력,1995,
671,나미비아,태양열,1995,
672,니제르,전체,1995,148.8
673,니제르,가연성 연료,1995,148.8
674,니제르,태양열,1995,
675,나이지리아,전체,1995,15857.0
676,나이지리아,가연성 연료,1995,10357.0
677,나이지리아,수력,1995,5500.0
678,나이지리아,풍력,1995,
679,나이지리아,태양열,1995,
680,세네갈,전체,1995,935.0
681,세네갈,가연성 연료,1995,935.0
682,세네갈,풍력,1995,
683,세네갈,태양열,1995,
684,세네갈,기타,1995,
685,남아프리카공화국,전체,1995,187825.0
686,남아프리카공화국,가연성 연료,1995,174721.0
687,남아프리카공화국,수력,1995,1803.0
688,남아프리카공화국,원자력,1995,11301.0
689,남아프리카공화국,풍력,1995,
690,남아프리카공화국,태양열,1995,
691,남수단,전체,1995,
692,남수단,가연성 연료,1995,
693,남수단,태양열,1995,
694,수단,전체,1995,
695,수단,가연성 연료,1995,
696,수단,수력,1995,
697,수단,태양열,1995,
698,탄자니아,전체,1995,1817.0
699,탄자니아,가연성 연료,1995,278.0
700,탄자니아,수력,1995,1539.0
701,탄자니아,태양열,1995,
702,토고,전체,1995,350.0
703,토고,가연성 연료,1995,95.0
704,토고,수력,1995,255.0
705,토고,태양열,1995,
