,year,month,wti,coal,lng,date,m2,unemploy,interest,wti_modified,dollar_idx
162,2008,07,7.452099373227878,5.261087207647628,4.165680473372781,2008-07-01,2.230987286679647,5.8,2.11,2.748018695809366,0.8226936420002576
163,2008,08,6.491863207973159,4.6712552945706465,4.085798816568047,2008-08-01,2.2351677929217733,6.1,2.04,2.5055358636336393,0.862663442989094
164,2008,09,5.81020052089916,4.433918507368652,3.727810650887574,2008-09-01,2.254237773450922,6.1,1.94,2.287873148022968,0.8876475179447523
165,2008,10,4.243674834896507,3.217424787798625,3.8905325443786984,2008-10-01,2.2836158515633946,6.5,1.15,1.7516944034503659,0.9426257341678947
166,2008,11,3.169130401800388,2.732677127454744,2.692307692307692,2008-11-01,2.2985053258504182,6.8,0.22,1.3515951004399502,0.9802842240223578
167,2008,12,2.261045470386916,2.2266488805764877,2.1834319526627217,2008-12-01,2.3493872408658802,7.3,0.52,0.9071075129845587,0.9425492963371568
168,2009,01,2.3159278832781243,2.306246218163814,1.7840236686390534,2009-01-01,2.3735540029778948,7.8,0.14,0.9309256629023029,0.9540894384539245
169,2009,02,2.1739373403798004,2.1785088563727357,1.7248520710059172,2009-02-01,2.3822013515061276,8.3,0.23,0.8958303144807959,0.981651194005196
170,2009,03,2.669127873163576,1.7642078272132156,1.849112426035503,2009-03-01,2.4014145000572675,8.7,0.22,1.0898965368876619,0.9805799765382137
171,2009,04,2.7762662148835555,1.786267809010396,1.9142011834319526,2009-04-01,2.402760279463979,9.0,0.16,1.1171956891748187,0.9668933807380676
172,2009,05,3.296475441518045,1.8063352451208867,2.0088757396449703,2009-05-01,2.4193964036192876,9.4,0.22,1.2696541922899547,0.9318427639345277
173,2009,06,3.8758692189040858,2.0434854902509865,2.062130177514793,2009-06-01,2.4222597640590995,9.5,0.21,1.4535195097315436,0.9083902541203763
174,2009,07,3.571930372336271,2.092192496358674,2.381656804733728,2009-07-01,2.423491009048219,9.5,0.2,1.3287583931281337,0.9015388552596985
175,2009,08,3.9533069150992106,2.0992491336157086,2.508875739644971,2009-08-01,2.423347841026228,9.6,0.18,1.451465559032875,0.8897376308861599
176,2009,09,3.8605962525602444,1.9716806104946252,2.5295857988165684,2009-09-01,2.4229183369602563,9.8,0.15,1.3916378274307972,0.8733948307216811
177,2009,10,4.218069638657799,2.040531907445652,2.5887573964497044,2009-10-01,2.4304489749169624,10.0,0.11,1.496184941073536,0.8621007872870216
178,2009,11,4.337604321319901,2.2173936960228815,2.532544378698225,2009-11-01,2.4388099874012137,9.9,0.11,1.519697712762209,0.8544472213610002
179,2009,12,4.1514257663693455,2.32775455195555,2.710059171597633,2009-12-01,2.437435574390104,9.9,0.13,1.4833571123408953,0.8709266643845857
180,2010,01,4.362425901910562,2.6992924528301887,2.7633136094674557,2010-01-01,2.4275569808727524,9.8,0.05,1.5865045245521217,0.8828413869622374
181,2010,02,4.245014792525348,2.6457932229495524,2.665680473372781,2010-02-01,2.4417592486542206,9.8,0.14,1.580477008847206,0.9091003311539061
182,2010,03,4.519502935967219,2.698096465821752,2.71301775147929,2010-03-01,2.440642538082694,9.9,0.14,1.694269513784449,0.9149471313340467
183,2010,04,4.700609401471667,2.829177897574124,2.7633136094674557,2010-04-01,2.449633489863704,9.9,0.17,1.7679163194073995,0.9213160791324361
184,2010,05,4.107852380591143,2.909303244634501,2.9704142011834316,2010-05-01,2.4651529034474855,9.6,0.2,1.6132806602443923,0.9681417770676634
185,2010,06,4.191670670341617,2.8162740224734772,2.7455621301775146,2010-06-01,2.470621921887527,9.4,0.2,1.6659052076925884,0.9819048893878076
186,2010,07,4.237742433054337,2.772547869919838,2.6893491124260356,2010-07-01,2.473886152788913,9.4,0.17,1.6139068492583366,0.9421577335915895
187,2010,08,4.262270210129716,2.6104296165905687,2.6183431952662723,2010-08-01,2.487744817317604,9.5,0.18,1.596301170596676,0.9317076976002063
188,2010,09,4.1874731332338735,2.698577029439569,2.6568047337278107,2010-09-01,2.4965353338678273,9.5,0.19,1.542491676174554,0.9196202218479308
189,2010,10,4.556230260076317,2.7818636888717787,2.8165680473372783,2010-10-01,2.510794868858092,9.4,0.2,1.594222159494462,0.8785255769341902
190,2010,11,4.6811894707563155,3.0346028634438276,2.9585798816568047,2010-11-01,2.5166933913641047,9.8,0.2,1.6534244094080994,0.888911314159041
191,2010,12,4.97148467261299,3.3365421640354174,2.9437869822485205,2010-12-01,2.5263142824418736,9.3,0.2,1.7866194359536043,0.9078901969068178
192,2011,01,4.980210406665002,3.8003658067000265,3.1982248520710064,2011-01-01,2.532699576222655,9.1,0.13,1.7651024036411525,0.8976476382822528
193,2011,02,4.974101701772573,3.628691759722749,3.517751479289941,2011-02-01,2.5509678158286566,9.0,0.18,1.7201615455940507,0.8821847649944039
194,2011,03,5.726311345553607,3.6649938892702156,3.603550295857988,2011-03-01,2.567575306379567,9.0,0.15,1.929717929223673,0.865250910116835
195,2011,04,6.127513133860007,3.5451642921319406,4.263313609467456,2011-04-01,2.585729011567976,9.1,0.11,2.0083582287109345,0.8475004498811702
196,2011,05,5.63526942625231,3.4491336157104313,4.659763313609467,2011-05-01,2.6064311075478184,9.0,0.09,1.837669136603225,0.8499607810603967
197,2011,06,5.356537790477153,3.459892533342668,4.819526627218935,2011-06-01,2.6276199748024283,9.1,0.1,1.7269594508464479,0.8471504031550458
198,2011,07,5.40045539544869,3.4768001540238815,4.819526627218935,2011-07-01,2.674006413927385,9.0,0.08,1.7123664944086932,0.8478690506178631
199,2011,08,4.802780620967237,3.4356337732348514,5.236686390532545,2011-08-01,2.7273794525254837,9.0,0.17,1.4826605137339168,0.8419659650026617
200,2011,09,4.764609199180718,3.51918734903911,5.260355029585799,2011-09-01,2.7331634406139043,9.0,0.08,1.5222136390585872,0.87320040178619
201,2011,10,4.807095114071623,3.4477831563892454,5.207100591715977,2011-10-01,2.7425552628564884,8.8,0.06,1.5337843440704086,0.8750582680595805
202,2011,11,5.40217968493185,3.3084984422585446,5.292899408284024,2011-11-01,2.757358836330317,8.6,0.08,1.730781838043812,0.8834187074897968
203,2011,12,5.483273067489315,3.1853484790142317,5.340236686390533,2011-12-01,2.770988432023823,8.5,0.08,1.7867241026875615,0.9029263651157796
204,2012,01,5.568690418995133,3.3176742395071157,5.165680473372782,2012-01-01,2.79191959683885,8.3,0.04,1.8158063569292087,0.9103729908709886
205,2012,02,5.690791065964915,3.368378348644043,4.943786982248521,2012-02-01,2.806723170312679,8.3,0.11,1.8150990718907956,0.8952148413878077
206,2012,03,5.907199029003476,3.076845661077466,5.449704142011835,2012-03-01,2.8193219562478524,8.2,0.11,1.890088166558511,0.9020801637221292
207,2012,04,5.748010504679766,2.9744948624931533,5.789940828402367,2012-04-01,2.8346695682052454,8.2,0.09,1.8260839559436315,0.900545434752932
208,2012,05,5.258970888793852,2.798368747155795,5.4230769230769225,2012-05-01,2.847039285305234,8.2,0.16,1.6953890608768303,0.9178296214718391
209,2012,06,4.583939303083611,2.500126664369814,5.733727810650888,2012-06-01,2.8670828083839193,8.2,0.16,1.490924099740011,0.932517333310748
210,2012,07,4.890939894302979,2.462644834949415,5.650887573964497,2012-07-01,2.88217271790173,8.2,0.09,1.5987516480781505,0.9421253342652158
211,2012,08,5.235799780338416,2.519038575979272,5.440828402366864,2012-08-01,2.9024166762112014,8.1,0.14,1.6809725539517304,0.9318314254804237
212,2012,09,5.268412268945808,2.5116336157104313,5.550295857988166,2012-09-01,2.925380826938495,7.8,0.13,1.6302510432888053,0.9052262620457059
213,2012,10,4.984255387920368,2.341924628752237,5.109467455621302,2012-10-01,2.9443362730500513,7.8,0.15,1.5303551442276704,0.9040227297980226
214,2012,11,4.8242850279414355,2.3509337697343047,4.979289940828402,2012-11-01,2.9640934600847553,7.7,0.17,1.489402480087122,0.915105165862071
215,2012,12,4.910063613277506,2.589653040958186,5.183431952662722,2012-12-01,2.9991982590768522,7.9,0.16,1.4809344669359392,0.9045944054635906
216,2013,01,5.269806647236472,2.613264430986798,5.263313609467455,2013-01-01,3.005841255297217,8.0,0.09,1.5882079534322209,0.9058968019104081
217,2013,02,5.302068424912128,2.7047795533307544,5.242603550295858,2013-02-01,3.01128164013286,7.7,0.14,1.6096604461779884,0.9141981128816112
218,2013,03,5.184663938147132,2.6230939545629512,5.4171597633136095,2013-03-01,3.027402359409002,7.5,0.14,1.6048760119564378,0.9371109647836061
219,2013,04,5.12172857612461,2.5130232686066307,5.239644970414202,2013-04-01,3.0352766006184857,7.6,0.16,1.5793585704058135,0.9359711358164712
220,2013,05,5.271886725866082,2.5101353209747463,5.011834319526628,2013-05-01,3.0450979269270415,7.5,0.14,1.6339404595936142,0.9437814135532929
221,2013,06,5.3276582294485015,2.416244705429337,5.233727810650888,2013-06-01,3.0615908830603593,7.5,0.09,1.6154274434635825,0.9283211722959144
222,2013,07,5.809248434169112,2.2162361252950675,5.023668639053255,2013-07-01,3.0728152559844233,7.3,0.1,1.7751535364528448,0.9389715262379172
223,2013,08,5.921005385996432,2.216211012706965,5.029585798816568,2013-08-01,3.089451380139732,7.2,0.08,1.7711352248561696,0.9241397040082485
224,2013,09,5.918768144474258,2.2451730018152776,5.032544378698225,2013-09-01,3.106746077196197,7.2,0.07,1.7536456678179835,0.9204840713978605
225,2013,10,5.593984482965223,2.303062898662334,4.87869822485207,2013-10-01,3.1423090138586645,7.2,0.08,1.6125532222746117,0.9058195533274683
226,2013,11,5.220929406480775,2.38175917267176,4.943786982248521,2013-11-01,3.144800137441301,6.9,0.08,1.5222272292848753,0.9169057895955665
227,2013,12,5.445646951728318,2.410902002310356,5.242603550295858,2013-12-01,3.1633833466956816,6.7,0.07,1.5679282130564434,0.9108115237663175
228,2014,01,5.282795045191137,2.371254419435008,5.254437869822485,2014-01-01,3.183369602565571,6.6,0.07,1.5209543058277997,0.9165147734570606
229,2014,02,5.602220143120841,2.2379428186368866,5.313609467455621,2014-02-01,3.202153247050739,6.7,0.07,1.5964701511834176,0.9125207413901683
230,2014,03,5.594604129865955,2.149678200121016,5.269230769230769,2014-03-01,3.2124327110296647,6.7,0.06,1.5776058924045546,0.9058644108202457
231,2014,04,5.683996257617515,2.1164613015017304,5.227810650887575,2014-04-01,3.225289199404421,6.2,0.08,1.5960816057330636,0.9056699777801509
232,2014,05,5.674058714946789,2.1249229880631453,5.230769230769231,2014-05-01,3.243757874241209,6.3,0.09,1.5861184214765516,0.9067555303209177
233,2014,06,5.8542108425538295,2.0848644039826145,5.180473372781066,2014-06-01,3.259563623868973,6.1,0.08,1.63859165999924,0.9123507698910636
234,2014,07,5.727012767417071,1.9956345951013665,5.156804733727811,2014-07-01,3.275226205474745,6.2,0.1,1.5974124224844661,0.913545549756412
235,2014,08,5.358123606992042,2.001304389680399,4.8017751479289945,2014-08-01,3.2821269041346923,6.1,0.09,1.5157452983696842,0.9284721272765882
236,2014,09,5.188712165271701,1.9279150768369058,4.644970414201183,2014-09-01,3.293923949146719,5.9,0.07,1.5089300714677125,0.9579064595761605
237,2014,10,4.695511449777421,1.8594239172289058,4.505917159763314,2014-10-01,3.3150555491925324,5.7,0.09,1.3762584060829361,0.9716456055973146
238,2014,11,4.211608971603407,1.8148440508278758,4.855029585798817,2014-11-01,3.326709426182568,5.8,0.07,1.2596514927523705,0.9949866008213212
239,2014,12,3.289934596259155,1.8103030969800296,4.905325443786982,2014-12-01,3.3506757530637956,5.6,0.13,0.992856169042576,1.0111869991803066
240,2015,01,2.645611550812954,1.7443753781836173,4.585798816568047,2015-01-01,3.371377849043638,5.7,0.06,0.8275059028066732,1.0545142463631911
241,2015,02,2.82917541153564,1.9045581440123178,4.346153846153846,2015-02-01,3.4017867369144428,5.5,0.06,0.8909800242228373,1.0713100421058057
242,2015,03,2.6581283030318326,1.8421824132740567,3.8609467455621305,2015-03-01,3.405365937464208,5.4,0.06,0.8665127725766549,1.1101018249362034
243,2015,04,3.025084077173996,1.6495379283788976,3.260355029585799,2015-04-01,3.416704844805864,5.4,0.12,0.9799878718590166,1.1068549581470366
