,date,dollar_idx
6320,2019-11-01,97.23999786376953
6321,2019-11-04,97.51000213623047
6322,2019-11-05,97.9800033569336
6323,2019-11-06,97.94999694824219
6324,2019-11-07,98.13999938964844
6325,2019-11-08,98.3499984741211
6326,2019-11-11,98.19999694824219
6327,2019-11-12,98.30999755859375
6328,2019-11-13,98.37000274658203
6329,2019-11-14,98.16000366210938
6330,2019-11-15,98.0
6331,2019-11-18,97.79000091552734
6332,2019-11-19,97.86000061035156
6333,2019-11-20,97.93000030517578
6334,2019-11-21,97.98999786376953
6335,2019-11-22,98.2699966430664
6336,2019-11-25,98.31999969482422
6337,2019-11-26,98.25
6338,2019-11-27,98.41000366210938
6339,2019-11-29,98.2699966430664
6340,2019-12-02,97.86000061035156
6341,2019-12-03,97.73999786376953
6342,2019-12-04,97.6500015258789
6343,2019-12-05,97.41000366210938
6344,2019-12-06,97.69999694824219
6345,2019-12-09,97.63999938964844
6346,2019-12-10,97.41000366210938
6347,2019-12-11,97.16000366210938
6348,2019-12-12,97.4000015258789
6349,2019-12-13,97.16999816894531
6350,2019-12-16,97.06999969482422
6351,2019-12-17,97.20999908447266
6352,2019-12-18,97.41000366210938
6353,2019-12-19,97.41999816894531
6354,2019-12-20,97.70999908447266
6355,2019-12-23,97.66000366210938
6356,2019-12-24,97.6500015258789
6357,2019-12-26,97.58999633789062
6358,2019-12-27,96.91999816894531
6359,2019-12-30,96.73999786376953
6360,2019-12-31,96.38999938964844
6361,2020-01-02,96.8499984741211
6362,2020-01-03,96.83999633789062
6363,2020-01-06,96.66999816894531
6364,2020-01-07,96.9800033569336
6365,2020-01-08,97.30000305175781
6366,2020-01-09,97.44999694824219
6367,2020-01-10,97.36000061035156
6368,2020-01-13,97.3499984741211
6369,2020-01-14,97.37000274658203
6370,2020-01-15,97.2300033569336
6371,2020-01-16,97.31999969482422
6372,2020-01-17,97.61000061035156
6373,2020-01-21,97.52999877929688
6374,2020-01-22,97.52999877929688
6375,2020-01-23,97.69000244140625
6376,2020-01-24,97.8499984741211
6377,2020-01-27,97.95999908447266
6378,2020-01-28,98.0199966430664
6379,2020-01-29,97.98999786376953
6380,2020-01-30,97.87000274658203
6381,2020-01-31,97.38999938964844
6382,2020-02-03,97.80000305175781
6383,2020-02-04,97.95999908447266
6384,2020-02-05,98.2699966430664
6385,2020-02-06,98.5
6386,2020-02-07,98.68000030517578
6387,2020-02-10,98.83000183105469
6388,2020-02-11,98.72000122070312
6389,2020-02-12,99.05000305175781
6390,2020-02-13,99.06999969482422
6391,2020-02-14,99.12000274658203
6392,2020-02-18,99.45999908447266
6393,2020-02-19,99.5999984741211
6394,2020-02-20,99.87000274658203
6395,2020-02-21,99.26000213623047
